epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,276.282,1.10136,0.89738,1.42317,0.63651,0.72228,0.72554,0.37761,1.8854,1.44089,2.43798,0.00082925,0.00082925,0.00082925
87,279.581,1.05649,0.82973,1.36327,0.63927,0.62963,0.69822,0.38691,1.94127,1.46236,2.50035,0.0008243,0.0008243,0.0008243
88,282.881,1.03863,0.87589,1.38587,0.59546,0.78094,0.70036,0.36857,1.91732,1.51477,2.42658,0.00081935,0.00081935,0.00081935
89,286.369,1.00051,0.79412,1.3415,0.62769,0.62988,0.66872,0.32403,2.06323,1.4801,2.67646,0.0008144,0.0008144,0.0008144
90,289.923,1.01524,0.84562,1.3521,0.58937,0.61972,0.65572,0.32938,2.0982,1.53402,2.567,0.00080945,0.00080945,0.00080945
91,293.524,1.10361,0.88039,1.3875,0.63063,0.5775,0.62542,0.27798,2.04875,1.75577,2.57347,0.0008045,0.0008045,0.0008045
92,296.892,1.04667,0.88196,1.37789,0.67026,0.41603,0.51043,0.22828,2.12386,2.22675,2.79102,0.00079955,0.00079955,0.00079955
93,300.353,1.06063,0.88606,1.37158,0.52987,0.56939,0.5877,0.26865,2.15688,1.86491,2.86462,0.0007946,0.0007946,0.0007946
94,304.151,1.03402,0.83233,1.36882,0.67904,0.69526,0.68819,0.29064,2.17939,1.66974,3.00061,0.00078965,0.00078965,0.00078965
95,307.86,0.95558,0.79551,1.33091,0.62706,0.71111,0.68305,0.28124,2.22618,1.61455,2.95518,0.0007847,0.0007847,0.0007847
96,312,0.99903,0.82777,1.35182,0.49358,0.42857,0.42429,0.1798,2.31032,2.32499,3.15188,0.00077975,0.00077975,0.00077975
97,315.246,1.00427,0.80914,1.3526,0.52575,0.64679,0.54384,0.25009,2.19329,1.74457,2.96349,0.0007748,0.0007748,0.0007748
98,318.466,1.04884,0.82084,1.36351,0.62126,0.59199,0.61679,0.28702,1.94878,1.77997,2.56037,0.00076985,0.00076985,0.00076985
99,321.662,0.98801,0.83307,1.33714,0.47796,0.46351,0.50561,0.27039,2.06475,2.13968,2.67531,0.0007649,0.0007649,0.0007649
100,325.023,1.00205,0.79049,1.32111,0.46525,0.61973,0.51881,0.23664,2.01177,2.00792,2.60673,0.00075995,0.00075995,0.00075995
101,328.384,1.01557,0.81132,1.37732,0.60292,0.56883,0.5471,0.22392,2.18912,2.11152,2.71168,0.000755,0.000755,0.000755
102,331.613,0.9635,0.79559,1.31263,0.64978,0.56368,0.52504,0.26213,2.13406,1.98058,2.75229,0.00075005,0.00075005,0.00075005
103,334.854,0.96705,0.77283,1.34475,0.6655,0.58757,0.52723,0.25195,2.149,2.25087,2.80272,0.0007451,0.0007451,0.0007451
104,338.107,0.99083,0.84466,1.36066,0.48652,0.49511,0.38894,0.18267,2.15624,2.58367,2.88198,0.00074015,0.00074015,0.00074015
105,341.311,0.98237,0.76339,1.34535,0.54594,0.54286,0.5124,0.23747,2.15232,1.67478,2.7855,0.0007352,0.0007352,0.0007352
106,344.56,0.95767,0.75676,1.31034,0.64466,0.69365,0.63718,0.30366,1.96694,1.65455,2.6319,0.00073025,0.00073025,0.00073025
107,347.962,0.97103,0.76635,1.30137,0.66658,0.49018,0.57986,0.29509,2.08799,1.70524,2.78375,0.0007253,0.0007253,0.0007253
108,351.343,1.02401,0.83571,1.37419,0.64101,0.5843,0.60528,0.32008,2.0296,1.56184,2.67068,0.00072035,0.00072035,0.00072035
109,354.687,0.9528,0.74544,1.30248,0.49828,0.65017,0.58271,0.26933,2.07275,2.01595,2.63919,0.0007154,0.0007154,0.0007154
110,358.069,0.95166,0.73575,1.31866,0.5967,0.57262,0.59395,0.28847,1.87373,1.71139,2.37702,0.00071045,0.00071045,0.00071045
111,361.273,0.97113,0.82447,1.33313,0.63367,0.55248,0.55796,0.28752,1.85273,1.6677,2.33037,0.0007055,0.0007055,0.0007055
112,364.728,0.95754,0.78812,1.3199,0.48414,0.52857,0.5112,0.26771,2.15129,1.98363,2.86421,0.00070055,0.00070055,0.00070055
113,368.416,0.97472,0.7668,1.32254,0.37558,0.7199,0.56574,0.26057,2.0468,1.87867,2.60961,0.0006956,0.0006956,0.0006956
114,371.954,0.98151,0.74987,1.3363,0.67226,0.67271,0.70637,0.3238,1.95593,1.34197,2.48546,0.00069065,0.00069065,0.00069065
115,375.475,0.91341,0.74192,1.26728,0.54006,0.6,0.58676,0.28768,2.00483,1.46325,2.58904,0.0006857,0.0006857,0.0006857
116,379.014,0.88741,0.72179,1.28319,0.5685,0.68421,0.62245,0.33542,1.82815,1.47672,2.49914,0.00068075,0.00068075,0.00068075
117,382.521,0.86816,0.66435,1.23898,0.57501,0.58049,0.63256,0.33942,1.86938,1.6169,2.45345,0.0006758,0.0006758,0.0006758
118,385.92,0.88217,0.69841,1.246,0.49249,0.63902,0.56838,0.30209,1.99408,1.91786,2.64038,0.00067085,0.00067085,0.00067085
119,389.257,0.84457,0.70227,1.26149,0.52246,0.62415,0.57015,0.26488,2.09187,1.74565,2.67704,0.0006659,0.0006659,0.0006659
120,392.502,0.92767,0.71981,1.2758,0.55762,0.63407,0.60114,0.32014,1.91239,1.93458,2.47763,0.00066095,0.00066095,0.00066095
121,395.865,0.84986,0.66543,1.2473,0.68227,0.48478,0.5563,0.27748,2.00213,2.28656,2.63372,0.000656,0.000656,0.000656
122,399.149,0.92688,0.72579,1.28976,0.55083,0.68571,0.66365,0.29879,1.99617,1.48501,2.68698,0.00065105,0.00065105,0.00065105
123,402.363,0.87292,0.64788,1.24237,0.58502,0.65569,0.61859,0.31439,1.89608,1.43246,2.57279,0.0006461,0.0006461,0.0006461
124,405.583,0.89156,0.69905,1.26257,0.62113,0.64762,0.6626,0.3463,1.89324,1.30058,2.5008,0.00064115,0.00064115,0.00064115
125,408.811,0.87888,0.71121,1.24951,0.74195,0.66349,0.71004,0.3589,1.95676,1.27652,2.5272,0.0006362,0.0006362,0.0006362
126,412.039,0.92135,0.73219,1.30411,0.77537,0.76667,0.76727,0.36708,1.91152,1.39119,2.51472,0.00063125,0.00063125,0.00063125
127,415.285,0.85622,0.69627,1.25091,0.65965,0.67342,0.70741,0.35494,1.89345,1.61252,2.50099,0.0006263,0.0006263,0.0006263
128,418.5,0.89297,0.74109,1.27463,0.69601,0.52698,0.60019,0.3207,2.01931,1.73983,2.66007,0.00062135,0.00062135,0.00062135
129,421.701,0.87153,0.71918,1.24994,0.64479,0.65888,0.69293,0.35844,1.9762,1.43062,2.62147,0.0006164,0.0006164,0.0006164
130,425.286,0.81818,0.65061,1.21501,0.55889,0.60669,0.62647,0.29838,1.98732,1.64138,2.62547,0.00061145,0.00061145,0.00061145
131,429.365,0.82142,0.67238,1.23049,0.65229,0.47716,0.44873,0.23356,1.92792,2.2129,2.54966,0.0006065,0.0006065,0.0006065
132,432.596,0.83933,0.67934,1.20155,0.57998,0.60317,0.63721,0.29576,2.04698,1.62917,2.81268,0.00060155,0.00060155,0.00060155
133,435.876,0.84555,0.67242,1.21272,0.52798,0.72618,0.64006,0.29717,2.24432,1.51476,3.02069,0.0005966,0.0005966,0.0005966
134,439.118,0.81702,0.6293,1.21599,0.47217,0.62063,0.57386,0.25304,2.21632,1.75048,2.93845,0.00059165,0.00059165,0.00059165
135,442.345,0.82284,0.64695,1.2317,0.49723,0.71746,0.65984,0.31814,2.03381,1.344,2.66574,0.0005867,0.0005867,0.0005867
136,445.603,0.89446,0.67626,1.24867,0.57976,0.77796,0.70977,0.31942,1.91676,1.43805,2.53365,0.00058175,0.00058175,0.00058175
137,448.812,0.83491,0.68973,1.22193,0.50444,0.83016,0.71814,0.31646,1.96348,1.40767,2.5509,0.0005768,0.0005768,0.0005768
138,452.073,0.7775,0.61792,1.18274,0.54709,0.79475,0.68331,0.3341,2.04484,1.60063,2.68403,0.00057185,0.00057185,0.00057185
139,455.267,0.8082,0.60426,1.20904,0.53338,0.69966,0.63498,0.31504,2.16877,1.63397,2.8362,0.0005669,0.0005669,0.0005669
140,458.499,0.77966,0.61108,1.1979,0.56847,0.56212,0.5737,0.31039,1.92616,1.63004,2.61685,0.00056195,0.00056195,0.00056195
141,461.85,0.77076,0.62085,1.21552,0.51432,0.67937,0.63084,0.33727,1.83086,1.61296,2.4761,0.000557,0.000557,0.000557
142,465.09,0.7767,0.62392,1.19798,0.64312,0.62977,0.69497,0.34871,2.0026,1.59648,2.70898,0.00055205,0.00055205,0.00055205
143,468.302,0.73227,0.55889,1.16076,0.67327,0.69384,0.70919,0.35955,2.04744,1.52138,2.77286,0.0005471,0.0005471,0.0005471
144,471.661,0.7842,0.57876,1.21765,0.6386,0.69032,0.68822,0.34981,1.91098,1.73251,2.56838,0.00054215,0.00054215,0.00054215
145,475.236,0.78882,0.57269,1.20755,0.51005,0.6221,0.61339,0.32554,1.85254,2.01621,2.52756,0.0005372,0.0005372,0.0005372
146,478.542,0.79818,0.64773,1.20073,0.5042,0.64762,0.56538,0.2696,2.08971,1.9635,2.7287,0.00053225,0.00053225,0.00053225
147,481.823,0.81075,0.60252,1.21947,0.53477,0.70317,0.60917,0.29402,2.10149,1.86326,2.74348,0.0005273,0.0005273,0.0005273
148,485.39,0.74398,0.55359,1.15759,0.6461,0.67869,0.65356,0.34692,2.01382,1.76185,2.62049,0.00052235,0.00052235,0.00052235
149,488.949,0.78623,0.56381,1.189,0.65472,0.7578,0.72774,0.35717,1.92944,1.43297,2.59193,0.0005174,0.0005174,0.0005174
150,492.509,0.78224,0.58948,1.1936,0.76138,0.6381,0.7488,0.39701,1.96499,1.33562,2.67343,0.00051245,0.00051245,0.00051245
151,496.13,0.76929,0.60044,1.18063,0.65811,0.62963,0.65004,0.33906,1.98431,1.70101,2.65748,0.0005075,0.0005075,0.0005075
152,499.789,0.75888,0.56708,1.18925,0.60983,0.66586,0.63205,0.32023,2.02172,1.81894,2.71789,0.00050255,0.00050255,0.00050255
153,503.314,0.78027,0.62869,1.22212,0.58778,0.68834,0.6436,0.30803,1.93673,1.63207,2.78576,0.0004976,0.0004976,0.0004976
154,506.874,0.67923,0.50335,1.11323,0.55149,0.74444,0.64178,0.312,1.91719,1.59888,2.6826,0.00049265,0.00049265,0.00049265
155,510.367,0.73235,0.54023,1.16195,0.63809,0.65556,0.66953,0.36569,1.9142,1.65439,2.6414,0.0004877,0.0004877,0.0004877
156,513.906,0.74192,0.53945,1.17232,0.61684,0.54444,0.5751,0.28005,2.06433,1.96392,2.81596,0.00048275,0.00048275,0.00048275
